band_1,band_1_label,band_2,band_2_label,adjacent,trait_class,trait_label,metric,n,mean,median,sd,p025,p975
24-26N,24–26°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,unique_to_band_1,5000,32.192,33.0,9.018281536987857,16.0,47.0
24-26N,24–26°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,unique_to_band_2,5000,23.8998,24.0,5.812651489937161,14.0,35.0
24-26N,24–26°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,jaccard_total,5000,0.7830569230723421,0.782608695652174,0.04003288351757988,0.7058634992458522,0.8620797413793101
24-26N,24–26°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,jaccard_turnover,5000,0.7355747758279885,0.7368421052631579,0.05200944148244072,0.6274509803921569,0.8333333333333334
24-26N,24–26°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,jaccard_nestedness,5000,0.047482147244353685,0.03975199663724255,0.036623142530062144,0.002217416204485105,0.13492261904761899
24-26N,24–26°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,sorensen_total,5000,0.6452490046076358,0.6428571428571429,0.05438240955921242,0.5454320432043204,0.7575924075924073
24-26N,24–26°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,simpson_replacement,5000,0.5844178336200716,0.5833333333333334,0.0650727151579163,0.45714285714285713,0.7142857142857143
24-26N,24–26°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,sorensen_nestedness,5000,0.06083117098756422,0.051874312278229084,0.04550306770900455,0.00316694773872992,0.16666666666666663
26-28N,26–28°N,28-30N,28–30°N,True,ballooning,Ballooning-capable,shared_genera,5000,6.7004,7.0,1.5290217204095882,4.0,10.0
26-28N,26–28°N,28-30N,28–30°N,True,ballooning,Ballooning-capable,unique_to_band_1,5000,10.3948,11.0,3.1494946933380716,4.0,16.0
26-28N,26–28°N,28-30N,28–30°N,True,ballooning,Ballooning-capable,unique_to_band_2,5000,4.7762,5.0,1.7013795868352541,2.0,8.0
26-28N,26–28°N,28-30N,28–30°N,True,ballooning,Ballooning-capable,jaccard_total,5000,0.6884928265230691,0.6956521739130435,0.07847080293289407,0.5238095238095238,0.8333333333333334
26-28N,26–28°N,28-30N,28–30°N,True,ballooning,Ballooning-capable,jaccard_turnover,5000,0.5659465092985416,0.5882352941176471,0.13037834594009426,0.2857142857142857,0.7777777777777778
26-28N,26–28°N,28-30N,28–30°N,True,ballooning,Ballooning-capable,jaccard_nestedness,5000,0.12254631722452748,0.10606060606060608,0.09079027561105943,0.0,0.34615384615384615
26-28N,26–28°N,28-30N,28–30°N,True,ballooning,Ballooning-capable,sorensen_total,5000,0.5303499289121066,0.5333333333333333,0.09037517553781363,0.3548387096774194,0.7142857142857143
26-28N,26–28°N,28-30N,28–30°N,True,ballooning,Ballooning-capable,simpson_replacement,5000,0.4057754306804307,0.4166666666666667,0.1234327096094113,0.16666666666666666,0.6363636363636364
26-28N,26–28°N,28-30N,28–30°N,True,ballooning,Ballooning-capable,sorensen_nestedness,5000,0.12457449823167592,0.11538461538461542,0.08021880018905533,0.0,0.3111111111111111
26-28N,26–28°N,28-30N,28–30°N,True,non_ballooning,Non-ballooning,shared_genera,5000,13.2716,13.0,2.168956964732812,9.0,17.0
26-28N,26–28°N,28-30N,28–30°N,True,non_ballooning,Non-ballooning,unique_to_band_1,5000,13.749,14.0,3.1371910036653325,8.0,20.0
26-28N,26–28°N,28-30N,28–30°N,True,non_ballooning,Non-ballooning,unique_to_band_2,5000,18.9024,19.0,4.157346623291019,11.0,27.0
26-28N,26–28°N,28-30N,28–30°N,True,non_ballooning,Non-ballooning,jaccard_total,5000,0.7094867137257588,0.7111111111111111,0.04747274140964904,0.6136363636363636,0.8
26-28N,26–28°N,28-30N,28–30°N,True,non_ballooning,Non-ballooning,jaccard_turnover,5000,0.6588944087461346,0.6666666666666666,0.06934125237541364,0.5,0.7804878048780488
26-28N,26–28°N,28-30N,28–30°N,True,non_ballooning,Non-ballooning,jaccard_nestedness,5000,0.05059230497962424,0.04065040650406504,0.04183594558822392,0.0,0.15454545454545454
26-28N,26–28°N,28-30N,28–30°N,True,non_ballooning,Non-ballooning,sorensen_total,5000,0.5518630506240586,0.5517241379310345,0.05695590712279692,0.4426229508196722,0.6666666666666666
26-28N,26–28°N,28-30N,28–30°N,True,non_ballooning,Non-ballooning,simpson_replacement,5000,0.495218557771843,0.5,0.07587250636570025,0.3333333333333333,0.64
26-28N,26–28°N,28-30N,28–30°N,True,non_ballooning,Non-ballooning,sorensen_nestedness,5000,0.05664449285221558,0.04814814814814816,0.043729602177834406,0.0,0.1634002639517345
26-28N,26–28°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,shared_genera,5000,11.7248,12.0,2.7541572279750626,7.0,17.0
26-28N,26–28°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,unique_to_band_1,5000,5.3704,5.0,2.6457898406290994,1.0,11.0
26-28N,26–28°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,unique_to_band_2,5000,25.9406,25.0,7.726746544466985,13.0,40.0
26-28N,26–28°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,jaccard_total,5000,0.7257118205577955,0.7252450980392157,0.05254214530900397,0.625,0.8285714285714286
26-28N,26–28°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,jaccard_turnover,5000,0.4546171796048505,0.47058823529411764,0.14964725793560885,0.14285714285714285,0.7096774193548387
26-28N,26–28°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,jaccard_nestedness,5000,0.27109464095294494,0.25727905569007264,0.15405673516805576,0.04148312657314903,0.6169871794871795
26-28N,26–28°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,sorensen_total,5000,0.5721816044440645,0.5689291101055807,0.06507333773167501,0.45454545454545453,0.7073170731707317
26-28N,26–28°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,simpson_replacement,5000,0.30615141019157177,0.3076923076923077,0.12454066565933757,0.07692307692307693,0.55
26-28N,26–28°N,30-32N,30–32°N,False,ballooning,Ballooning-capable,sorensen_nestedness,5000,0.2660301942524927,0.2625,0.1337097564527563,0.04999999999999993,0.5394996352822351
26-28N,26–28°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,shared_genera,5000,10.1834,10.0,2.154040950976489,6.0,14.024999999999636
26-28N,26–28°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,unique_to_band_1,5000,16.8372,17.0,2.9720805528387872,11.0,22.0
26-28N,26–28°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,unique_to_band_2,5000,29.166,29.0,6.462259369541882,17.0,41.0
26-28N,26–28°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,jaccard_total,5000,0.8178198880910533,0.8181818181818182,0.03681113676379447,0.7413793103448276,0.8870967741935484
26-28N,26–28°N,30-32N,30–32°N,False,non_ballooning,Non-ballooning,jaccard_turnover,5000,0.7627947421378645,0.76759410801964,0.05571789814061225,0.6451612903225806,0.8571428571428571
