grid_cell_id,source_field,baseline_start,baseline_end,baseline_n_years,baseline_mean,baseline_sd,orientation,parameter_valid
BJA25K_C-0010_R+0013,modis_evi_p10,2001,2020,20,0.08801660291080501,0.008103675195427845,-1,1
BJA25K_C-0011_R+0015,era5_mean_temperature_c,2001,2020,20,17.14022567015407,0.7556510761427245,1,1
BJA25K_C-0011_R+0015,era5_p95_daily_max_temperature_c,2001,2020,20,27.720104229541157,1.05725624492987,1,1
BJA25K_C-0011_R+0015,era5_annual_max_temperature_c,2001,2020,20,31.484679197473305,1.502157411770178,1,1
BJA25K_C-0011_R+0015,era5_hot_days_35c,2001,2020,20,0.09206642066420664,0.4117335501005148,1,1
BJA25K_C-0011_R+0015,era5_hot_days_40c,2001,2020,20,,,1,0
BJA25K_C-0011_R+0015,era5_mean_vpd_kpa,2001,2020,20,0.5981725793444964,0.06297430323351297,1,1
BJA25K_C-0011_R+0015,era5_p95_vpd_kpa,2001,2020,20,1.1957861912568832,0.17289440307727805,1,1
BJA25K_C-0011_R+0015,era5_high_vpd_day_fraction,2001,2020,20,0.00024920386190163267,0.0009531384832937148,1,1
BJA25K_C-0011_R+0015,era5_mean_rootzone_soil_water,2001,2020,20,0.15539328583402132,0.018619814681196764,-1,1
BJA25K_C-0011_R+0015,modis_lst_day_mean_c,2001,2020,20,32.72399346837521,1.755274956300306,1,1
BJA25K_C-0011_R+0015,modis_lst_day_p95_c,2001,2020,20,43.62265645459954,1.8132918877611062,1,1
BJA25K_C-0011_R+0015,modis_lst_day_max_c,2001,2020,20,49.33371470540547,2.6990393791001703,1,1
BJA25K_C-0011_R+0015,modis_lst_night_mean_c,2001,2020,20,10.356206596784356,0.9344715395184798,1,1
BJA25K_C-0011_R+0015,modis_lst_hot_observation_fraction_45c,2001,2020,20,0.04619525367014331,0.027362021853313552,1,1
BJA25K_C-0011_R+0015,chirps_annual_precipitation_mm,2001,2020,20,113.50299279312381,24.549021855882064,-1,1
BJA25K_C-0011_R+0015,chirps_dry_day_fraction_lt1mm,2001,2020,20,0.9565153205657811,0.006899814608958926,1,1
BJA25K_C-0011_R+0015,chirps_very_dry_day_fraction_lt0_1mm,2001,2020,20,0.9501579435474058,0.012637973758494526,1,1
BJA25K_C-0011_R+0015,chirps_minimum_monthly_precipitation_mm,2001,2020,20,0.0011259256854438734,0.004008512252201584,-1,1
BJA25K_C-0011_R+0015,chirps_heavy_rain_days_gt20mm,2001,2020,20,0.9019418724279834,0.5976500846948134,1,1
BJA25K_C-0011_R+0015,chirps_max_1day_precipitation_mm,2001,2020,20,21.64515914030281,7.375576290513764,1,1
BJA25K_C-0011_R+0015,terraclimate_climate_water_deficit_mm,2001,2020,20,1002.3442974198045,89.7478251872577,1,1
BJA25K_C-0011_R+0015,terraclimate_pdsi_mean,2001,2020,20,-1.0558888598326357,2.352750160778396,-1,1
BJA25K_C-0011_R+0015,terraclimate_pdsi_min,2001,2020,20,-2.9389961645746157,1.3590064982717864,-1,1
BJA25K_C-0011_R+0015,terraclimate_soil_moisture_mean_mm,2001,2020,20,8.591735675267316,6.239532901040877,-1,1
BJA25K_C-0011_R+0015,terraclimate_aet_pet_ratio,2001,2020,20,0.16528259691511454,0.06578276223781288,-1,1
BJA25K_C-0011_R+0015,modis_evi_mean,2001,2020,20,0.1583986679016467,0.03606830730183525,-1,1
BJA25K_C-0011_R+0015,modis_evi_p10,2001,2020,20,0.10152030077327816,0.012072670602652411,-1,1
BJA25K_C-0011_R+0016,era5_mean_temperature_c,2001,2020,20,17.25093061745292,0.7092675439787683,1,1
BJA25K_C-0011_R+0016,era5_p95_daily_max_temperature_c,2001,2020,20,28.782392289925575,0.8422802316518768,1,1
BJA25K_C-0011_R+0016,era5_annual_max_temperature_c,2001,2020,20,32.84099859345186,1.2548436468281523,1,1
BJA25K_C-0011_R+0016,era5_hot_days_35c,2001,2020,20,0.7283924843423799,1.0480263102734104,1,1
BJA25K_C-0011_R+0016,era5_hot_days_40c,2001,2020,20,,,1,0
BJA25K_C-0011_R+0016,era5_mean_vpd_kpa,2001,2020,20,0.7301792022139486,0.06367112870416788,1,1
BJA25K_C-0011_R+0016,era5_p95_vpd_kpa,2001,2020,20,1.4996801439807845,0.15649922407527184,1,1
BJA25K_C-0011_R+0016,era5_high_vpd_day_fraction,2001,2020,20,0.0008630209654348573,0.001546736686416252,1,1
BJA25K_C-0011_R+0016,era5_mean_rootzone_soil_water,2001,2020,20,0.1508304302912262,0.01917251377561502,-1,1
BJA25K_C-0011_R+0016,modis_lst_day_mean_c,2001,2020,20,33.544642323446865,1.5392402689367803,1,1
BJA25K_C-0011_R+0016,modis_lst_day_p95_c,2001,2020,20,44.84525379438013,1.5647192056396924,1,1
BJA25K_C-0011_R+0016,modis_lst_day_max_c,2001,2020,20,50.99564327771342,2.2021225054167393,1,1
